,username,protected,verified,location,followers_count,following_count,tweet_count,listed_count
5571,5571,False,False,México,50,572,68,0
5572,5572,False,False,,0,27,0,0
5573,5573,False,False,,0,11,0,0
5574,5574,False,False,,0,60,1,0
5575,5575,False,False,,1,7,0,0
5576,5576,False,False,,3,45,0,0
5577,5577,False,False,,0,49,0,0
5578,5578,False,False,,0,10,0,0
5579,5579,False,False,"Tecámac, México",0,8,0,0
5580,5580,False,False,Juventino,1,98,2,0
5581,5581,False,False,,1,100,0,0
5582,5582,False,False,,0,18,1,0
5583,5583,False,False,,0,31,0,0
5584,5584,False,False,,22,412,103,0
5585,5585,False,False,,2,99,0,0
5586,5586,False,False,,1,37,0,0
5587,5587,False,False,,0,3,6,0
5588,5588,False,False,,0,1,1,0
5589,5589,False,False,,4,122,5,0
5590,5590,False,False,"Monterrey, Nuevo León",30,138,40,0
5591,5591,False,False,,3,87,26,0
5592,5592,False,False,,5,80,44,0
5593,5593,True,False,,2,68,0,0
5594,5594,False,False,,0,11,0,0
5595,5595,False,False,"Zacatecas, México",873,1163,138,1
5596,5596,False,False,"Texcoco, México.",841,690,9621,7
5597,5597,False,False,,0,35,0,0
5598,5598,False,False,Sonora Mexico,63,1547,82,0
5599,5599,False,False,,59,366,2303,0
5600,5600,False,False,,4,135,2,0
5601,5601,False,False,,5,62,37,0
5602,5602,False,False,,0,18,0,0
5603,5603,True,False,,19,132,12,0
5604,5604,False,False,"Chapultepec, México",0,5,1,0
5605,5605,False,False,,9,232,43,0
5606,5606,False,False,,4,115,1,0
5607,5607,False,False,,0,3,0,0
5608,5608,False,False,,0,30,0,0
5609,5609,True,False,,6,837,64,0
5610,5610,False,False,"Zaragoza, Veracruz de Ignacio ",0,32,2,0
5611,5611,False,False,,3,257,2,0
5612,5612,True,False,,0,146,1,0
5613,5613,False,False,"Cuernavaca, Morelos",6,79,5,0
5614,5614,False,False,,0,93,0,0
5615,5615,False,False,,7,6,8,0
5616,5616,False,False,,0,5,0,0
5617,5617,False,False,,4,20,0,0
5618,5618,False,False,,1,37,0,0
5619,5619,False,False,,0,34,0,0
5620,5620,False,False,,2,77,0,0
5621,5621,False,False,,5,46,39,0
5622,5622,False,False,,2,47,0,0
5623,5623,False,False,,90,604,303,1
5624,5624,True,False,,308,128,77,0
5625,5625,False,False,,1,13,0,0
5626,5626,False,False,,0,17,0,0
5627,5627,False,False,,1,50,0,0
5628,5628,False,False,,2,24,0,0
5629,5629,False,False,,3,118,12,0
5630,5630,False,False,"Tecámac, México",15,214,8,0
5631,5631,False,False,,1,184,0,0
5632,5632,False,False,México,8,83,4,0
5633,5633,False,False,,1,52,0,0
5634,5634,False,False,,0,94,0,0
5635,5635,False,False,,3,55,7,0
5636,5636,True,False,,0,35,0,0
5637,5637,False,False,,3,60,9,0
5638,5638,False,False,,2,44,0,0
5639,5639,False,False,"Mexicali, Baja California",0,28,0,0
5640,5640,False,False,,1,91,0,0
5641,5641,False,False,,104,138,22,0
5642,5642,False,False,,0,6,0,0
5643,5643,False,False,,1,8,0,0
5644,5644,False,False,,0,31,1,0
5645,5645,False,False,,0,69,0,0
5646,5646,False,False,,1,47,4,0
5647,5647,False,False,,6,157,0,1
5648,5648,False,False,,1,59,0,0
5649,5649,False,False,,7,14,3,0
5650,5650,False,False,,0,18,0,0
5651,5651,False,False,,0,78,2,0
5652,5652,False,False,,6,162,0,0
5653,5653,False,False,,0,18,0,0
5654,5654,False,False,,1,108,0,0
5655,5655,False,False,,67,418,83,0
5656,5656,False,False,,5,418,4,0
5657,5657,False,False,,1,142,0,0
5658,5658,False,False,,0,58,0,0
5659,5659,False,False,,0,13,0,0
5660,5660,False,False,,1,29,0,0
5661,5661,True,False,,0,11,0,0
5662,5662,False,False,,0,55,0,0
5663,5663,False,False,"los Mochis, Sinaloa. scally ",3,140,159,0
5664,5664,False,False,,0,2,0,0
5665,5665,False,False,"Guanajuato, México",0,31,2,0
5666,5666,False,False,"Zacatecas, México",12440,990,12905,200
5667,5667,False,False,,2,23,2,0
